# zipcode,population,num_incidents
1.123000000000000000e+04,8.640800000000000000e+04,6.259600000000000000e+04
1.123100000000000000e+04,3.333600000000000000e+04,2.448600000000000000e+04
1.123200000000000000e+04,2.826500000000000000e+04,2.301800000000000000e+04
1.123500000000000000e+04,7.913200000000000000e+04,5.809300000000000000e+04
1.123600000000000000e+04,9.387700000000000000e+04,4.728000000000000000e+04
1.123700000000000000e+04,4.989600000000000000e+04,5.042800000000000000e+04
1.156000000000000000e+04,6.464000000000000000e+03,1.000000000000000000e+00
1.141100000000000000e+04,1.855600000000000000e+04,1.285800000000000000e+04
1.141300000000000000e+04,3.891200000000000000e+04,2.730600000000000000e+04
1.141400000000000000e+04,2.614800000000000000e+04,1.815900000000000000e+04
1.141500000000000000e+04,1.934100000000000000e+04,1.351900000000000000e+04
1.141700000000000000e+04,2.896700000000000000e+04,2.181200000000000000e+04
1.141800000000000000e+04,3.625600000000000000e+04,2.648800000000000000e+04
1.094000000000000000e+04,4.841800000000000000e+04,2.000000000000000000e+00
1.170400000000000000e+04,4.022200000000000000e+04,1.100000000000000000e+01
1.170500000000000000e+04,8.030000000000000000e+03,1.000000000000000000e+00
1.170600000000000000e+04,6.254300000000000000e+04,5.000000000000000000e+00
1.170100000000000000e+04,2.710900000000000000e+04,2.000000000000000000e+00
1.170200000000000000e+04,1.449800000000000000e+04,2.000000000000000000e+00
1.012800000000000000e+04,6.045300000000000000e+04,2.406700000000000000e+04
1.054700000000000000e+04,7.647000000000000000e+03,1.000000000000000000e+00
1.054600000000000000e+04,1.277000000000000000e+03,1.000000000000000000e+00
1.054100000000000000e+04,2.633900000000000000e+04,1.000000000000000000e+00
1.054300000000000000e+04,2.013500000000000000e+04,3.000000000000000000e+00
1.054900000000000000e+04,1.663800000000000000e+04,2.000000000000000000e+00
1.151800000000000000e+04,1.054900000000000000e+04,7.000000000000000000e+00
1.151000000000000000e+04,3.304800000000000000e+04,1.500000000000000000e+01
