name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
14884,14884,1185,0.469773751,5-Digit ZCTA,1184,Z5,0.006373676,42.474414,-77.8864435,273
14481,14481,977,0.484770988,5-Digit ZCTA,976,Z5,0.005947684,42.75474,-77.9126935,1820
13118,13118,958,1.1401807,5-Digit ZCTA,957,Z5,0.029340498,42.7484415,-76.4065345,6382
14892,14892,1471,0.692517493,5-Digit ZCTA,1470,Z5,0.011343013,42.05955514,-76.527913,8189
146HH,146HH,541,1.027005125,5-Digit ZCTA,540,Z5,0.000401253,43.16432354,-77.6536745,
14475,14475,861,0.098684507,5-Digit ZCTA,860,Z5,0.000439648,42.93734,-77.498218,234
109HH,109HH,1781,0.158686624,5-Digit ZCTA,1780,Z5,0.000470672,41.20815451,-74.30666098,
129HH,129HH,192,0.685695832,5-Digit ZCTA,191,Z5,0.00181643,44.2891135,-74.2203135,
12561,12561,1600,0.554926547,5-Digit ZCTA,1599,Z5,0.006753548,41.7583335,-74.1267265,18308
14203,14203,2294,0.087612618,5-Digit ZCTA,2293,Z5,0.000204579,42.8841575,-78.870207,1618
121HH,121HH,801,1.569370425,5-Digit ZCTA,800,Z5,0.001559495,42.8142545,-73.6766,
10918,10918,1723,0.549499207,5-Digit ZCTA,1722,Z5,0.009431803,41.3529275,-74.2596415,11647
10468,10468,1902,0.112027693,5-Digit ZCTA,1901,Z5,0.000302671,40.8696285,-73.9019555,76103
128XX,128XX,302,2.035909061,5-Digit ZCTA,301,Z5,0.050481677,43.739544,-74.537813,
14470,14470,516,0.781950302,5-Digit ZCTA,515,Z5,0.017609279,43.215499,-78.050782,8016
13815,13815,1101,1.527960991,5-Digit ZCTA,1100,Z5,0.030290063,42.5496185,-75.5587885,13999
145HH,145HH,487,0.029637071,5-Digit ZCTA,486,Z5,2.69E-05,43.3579875,-78.195118,
14506,14506,799,0.134285871,5-Digit ZCTA,798,Z5,0.000948664,43.000564,-77.504418,1325
12057,12057,806,0.652155384,5-Digit ZCTA,805,Z5,0.008364809,42.9642855,-73.3544798,1835
13403,13403,626,0.230023184,5-Digit ZCTA,625,Z5,0.000700543,43.1395965,-75.285161,7372
128HH,128HH,506,0.973760273,5-Digit ZCTA,505,Z5,0.000828693,43.267829,-73.7170315,
12983,12983,146,2.793961995,5-Digit ZCTA,145,Z5,0.054619341,44.2944455,-74.144612,
13682,13682,316,0.562519808,5-Digit ZCTA,315,Z5,0.008323236,43.848068,-75.909459,
11576,11576,1951,0.247521382,5-Digit ZCTA,1950,Z5,0.000955525,40.8090995,-73.638572,12366
13736,13736,1292,1.056393703,5-Digit ZCTA,1291,Z5,0.017622603,42.3068505,-76.1990385,2338
13308,13308,508,0.684219798,5-Digit ZCTA,507,Z5,0.00824028,43.251499,-75.6954995,3625
12831,12831,606,0.024277192,5-Digit ZCTA,605,Z5,2.01E-05,43.184056,-73.5837635,17416
14228,14228,789,0.05923673,5-Digit ZCTA,788,Z5,0.000173198,43.015548,-78.7773965,20857
